"DPT_EXE","DEPART","ARRIVEE","NBRE"
"89",21183,21231,1
"52",21231,52037,1
"39",39198,21268,1
"25",21416,21617,1
"21",21617,21544,1
"21",21593,21231,1
"21",21408,21138,1
"21",21268,69383,1
"21",71093,21231,1
"21",54395,21355,1
"21",21297,25056,1
"21",0,21256,1
"89",89069,89206,1
"93",75105,75110,1
"20",20004,20345,1
"71",71073,71475,1
"21",21231,25505,1
"21",31555,21609,1
"21",21205,71014,1
"71",71442,71076,1
"89",21094,21231,1
"21",21060,25056,1
"30",34057,30133,1
"75",75017,75017,1
"21",21355,21315,1
"21",21632,21060,1
"21",21447,71073,1
"25",25475,21038,1
"75",75013,75012,1
"21",21515,21483,1
"21",69123,21699,1
"21",21241,21166,1
"21",71076,21294,1
"21",67482,21038,1
"31",31561,31488,1
"39",21292,21572,1
"21",21154,54357,1
"18",18109,18205,1
"89",21612,21617,1
"21",21617,21245,1
"80",80011,80021,1
"25",21231,21226,1
"21",21054,21629,1
"21",21273,21519,1
"56",56005,56260,1
"71",71105,69264,1
"34",34500,34324,1
"69",69199,69383,1
"21",21603,89386,1
"21",21382,21584,1
"90",90097,25485,1
"89",21008,21231,1
"21",21038,21541,1
"69",69300,71079,1
"21",21247,21642,1
"77",77243,77237,1
"71",21231,71340,1
"89",21231,69133,1
"89",89266,89024,1
"21",0,21568,1
"21",27021,21231,1
"35",35184,35238,1
"21",21054,70368,1
"21",21633,21278,1
"21",21530,21054,1
"89",21231,21273,1
"71",71118,71495,1
"21",21154,21240,1
"71",71076,21103,1
"84",84080,84031,1
"21",21464,21440,1
"83",83023,83059,1
"06",6027,6088,1
"21",21166,21659,1
"83",83085,83050,1
"21",71076,21525,1
"01",69029,21027,1
"21",21038,60597,1
"21",70550,21231,1
"21",71342,21087,1
"21",21558,39198,1
"21",21501,21414,1
"34",34057,34077,1
"41",41032,41018,1
"39",25056,39042,1
"21",0,21194,1
"21",21617,21052,1
"94",93001,93066,1
"21",71039,21054,1
"21",71118,21706,1
"25",21231,21469,1
"75",75110,75110,1
"21",21617,11335,1
"21",21585,69388,1
"21",21154,21165,1
"21",21575,21038,1
"21",39198,87184,1
"25",21352,21231,1
"39",25056,39335,1
"21",1109,21231,1
"26",26055,26113,1
"21",21381,90047,1
"86",86194,86070,1
"21",21515,21399,1
"75",92064,92022,1
"21",71182,21222,1
"21",21425,21250,1
"21",21023,21554,1
"75",91898,75005,1
"89",2333,21231,1
"21",21603,89257,1
"21",21345,13211,1
"71",21054,21583,1
"71",71076,71242,1
"21",21231,27472,1
"71",71047,71307,1
"21",21166,21405,1
"25",21405,21166,1
"75",75113,75110,1
"84",84019,84091,1
"21",21461,71118,1
"21",21271,21425,1
"85",85191,85048,1
"25",21617,21110,1
"21",21584,89204,1
"71",71100,7150,1
"21",21599,71076,1
"21",92060,21518,1
"21",25434,21540,1
"21",21584,21652,1
"39",39300,39198,1
"21",75113,21485,1
"21",21452,69123,1
"21",21231,69175,1
"93",93053,93048,1
"52",21154,52017,1
"21",21493,25056,1
"33",33063,33541,1
"21",21285,39476,1
"21",21166,21652,1
"19",19225,19272,1
"21",21111,75056,1
"70",70022,21166,1
"21",21009,71182,1
"69",69009,69013,1
"21",21910,21000,1
"21",21425,21161,1
"69",69152,69388,1
"21",21584,21548,1
"39",21699,25056,1
"21",71182,21485,1
"31",31297,31555,1
"62",62193,62239,1
"89",21231,21586,1
"84",84147,84089,1
"27",27284,60356,1
"21",21317,21577,1
"21",21617,21660,1
"01",1053,21171,1
"25",76540,21390,1
"21",21617,21700,1
"21",21000,39120,1
"25",25462,25056,1
"30",30189,30249,1
"71",21617,21054,1
"93",93005,93047,1
"21",71076,21297,1
"21",21554,21535,1
"25",21231,21425,1
"21",21152,21087,1
"69",69152,21223,1
"25",25056,25047,1
"21",71014,21272,1
"21",21166,92060,1
"21",92012,21474,1
"94",94043,21231,1
"25",25462,25240,1
"95",95051,95203,1
"25",21273,25056,1
"71",71107,69123,1
"21",21617,71113,1
"49",49123,49328,1
"71",21231,71154,1
"37",37233,37050,1
"21",21278,21477,1
"21",39076,21452,1
"71",71056,21231,1
"21",21551,21603,1
"29",29150,29233,1
"25",21639,54547,1
"21",68005,21231,1
"25",25056,39436,1
"21",89187,21603,1
"25",25609,25462,1
"21",21000,22150,1
"71",21231,71109,1
"18",18118,58194,1
"71",71014,21340,1
"89",21603,21102,1
"69",69500,69003,1
"21",21024,0,1
"21",21416,70353,1
"21",21317,21316,1
"21",21135,21038,1
"21",26184,21468,1
"21",69152,21376,1
"39",21231,39361,1
"21",21584,69081,1
"21",71076,21050,1
"42",42235,42218,1
"89",21231,21433,1
"26",38416,38516,1
"37",37208,37050,1
"21",71014,21445,1
"39",39043,39300,1
"26",7324,26092,1
"21",21171,21158,1
"21",99999,21555,1
"13",13055,13104,1
"21",21000,21124,1
"01",1451,1306,1
"40",64122,40065,1
"26",84137,26220,1
"21",21425,39198,1
"77",91514,91114,1
"06",6004,6029,1
"21",21406,69029,1
"21",21231,52000,1
"16",16360,16015,1
"89",21231,21073,1
"52",52017,21350,1
"21",21278,21065,1
"21",71182,21036,1
"89",21008,25056,1
"21",39476,21474,1
"75",75016,77500,1
"89",21538,21603,1
"34",34057,34172,1
"21",21000,21585,1
"94",75119,94076,1
"21",21617,21137,1
"21",21054,21056,1
"71",71351,21054,1
"39",21639,21231,1
"21",21173,39198,1
"21",21075,21617,1
"89",21425,21154,1
"25",71475,21607,1
"42",42275,42042,1
"83",83087,83087,1
"77",93008,93071,1
"21",21331,39189,1
"89",21607,21054,1
"21",75114,21390,1
"21",21317,21103,1
"75",75056,14366,1
"25",21292,21617,1
"39",21371,25056,1
"21",21603,21684,1
"21",21408,21196,1
"21",21515,39110,1
"94",94068,75120,1
"21",21585,52121,1
"25",21231,21363,1
"21",21166,21575,1
"21",11335,21557,1
"21",69388,21585,1
"58",58152,58194,1
"21",21132,75056,1
"21",21408,21565,1
"88",88209,54357,1
"25",21586,21054,1
"21",21317,39198,1
"21",21617,21222,1
"63",63032,63113,1
"21",21534,71073,1
"69",69389,69029,1
"21",52017,21432,1
"21",21099,69029,1
"77",77350,75056,1
"21",89387,21259,1
"31",31555,31239,1
"21",21555,21522,1
"21",21292,53012,1
"89",21431,21231,1
"71",69123,71528,1
"21",21408,39097,1
"69",69384,69381,1
"21",75113,21304,1
